California,Natural History Museum of Los Angeles County,Museum,"Los Angeles, CA",34.052234,-118.243685,www.nhm.org,"In the Dinosaur Hall, exacavate specimens, discover new dinosaurs you’ve never heard of, and see a T.rex growth series."
California,San Bernadino County Museum,Museum,"Redlands, CA",34.055569,-117.182538,www.sbcounty.gov/museum,The North American Mammal Hall features specimens as old as 16 million years and as young as the Ice Age. San Bernadino County Museum also features an online exhibit which showcases fossils from the Barstow Fossil Beds.
California,Page Museum at the La Brea Tar Pits,Museum,"Los Angeles, CA",34.052234,-118.243685,www.tarpits.org,"The Tar Pits, in the center of Los Angeles, feature a diverse amount of fauna that has been fossilized in tar. Dire wolves, smilodon, giant sloths, and mammoths are just a few of the many different fossils you can see on display here. All feature the distinctive brownish color caused by fossilization in the tar pits."
California,San Diego Natural History Museum,Museum,"San Diego, CA",32.715738,-117.161084,www.sdnhm.org,"From dinosaurs to mastodons, travel through 75 million years and dig into the rich fossil history of southern California and Baja California."
California,California Academy of Sciences: Kimball Natural History Museum,Museum,"San Francisco, CA",37.77493,-122.419416,www.calacademy.org,Scientists of all ages can use fossils to understand the evolution of life on Earth and maintaining life on Earth.
California,The Cooper Center: Raplh B. Clark Regional Park Museum,Museum,"Buena Park, CA",33.867514,-117.998118,www.jdcoopercenter.org,"The Regional Park Museum of Paleontology is home to an interpretative center which houses fossils from the surrounding area including mammoth fossils, ring-tailed cats, giant ground sloths, and llamas."
California,The Raymond Alf Museum of Paleontology,Museum,"Claremont, CA",34.096676,-117.719779,alfmuseum.org,"The Alf Museum features something for every fossil hunter–invertebrate fossils of trilobites and crinoids; vertebrate skulls of dinosaurs, mammals and reptiles, eggs, and trace fossils in the form of footprints."
Colorado,Colorado School of Mines Geology Museum,Museum,"Golden, CO",39.755543,-105.2211,www.mines.edu/Geology_Museum,"This museum, located on the School of Mines campus, features minerals, fossils,and exhibits on Colorado's mining history. "
Colorado,Denver Museum of Nature and Science,Museum,"Denver, CO",39.737567,-104.984718,www.dmns.org,"Visit Prehistoric Journey to travel through Colorado’s ancient history. See an 80-ft long Diplodocus and other beautiful dinosaur fossils, examine a massiveGomphotherium, and interact with volunteers who man the Museum Touch Carts."
Colorado,Dinosaur Journey,Museum,"Fruita, CO",39.15887,-108.728988,www.museumofwesternco.com/visit/dinosaur-journey,"The museum is very hands-on and features exhibits on familiar dinosaurs such as T. rex, stegosaurus, and triceratops."
Colorado,Dinosaur Ridge,Museum,"Morrison, CO",39.653599,-105.1911,www.dinoridge.org,"Dinosaur Ridge features a visitor center with exhibits on dinosaurs along with two different interpretive trails. On the trails, see dinosaur trackways, fossil remains, and learn about what Colorado looked like during the Mesozoic era."
Colorado,Fort Collins Museum of Discovery,Museum,"Fort Collins, CO",40.58526,-105.084423,www.fcmod.org,The Fort Collins Museum of Discovery explores the people and animals of Fort Collins’ past and present
Colorado,Louden-Henritza Archaeology Museum,Museum,"Trinidad, CO",37.169463,-104.500541,www.trindadstate.edu/museum,"Features exhibits on early geological formations, plant and marine animal fossils, and a dinosaur track exhibit."
Colorado,Morrison Natural History Museum,Museum,"Morrison, CO",39.653599,-105.1911,www.mnhm.org,Features exhibits on dinosaurs and fossils.
Colorado,The Paleo and Pelagica Museum,Museum,"Walsenburg, CO",37.624179,-104.780264,www.paleopelagicamuseum.com,"Features exhibits on trilobites, shells, and other fossils. Only open every other weekend in the summer. Call 281-728-8926 for details"
